Awardee,Estimated Total Award Amount,Agency
MAINE MATHEMATICS AND SCIENCE ALLIANCE,"$2,404,324",NSF
UNIVERSITY OF TEXAS AT AUSTIN,"$49,853",NSF
NORTHWESTERN UNIVERSITY,"$140,000",NSF
UNIVERSITY OF TEXAS AT EL PASO,"$1,499,756",NSF
AMERICAN SOCIETY FOR ENGINEERING EDUCATION,"$271,465",NSF
PURDUE UNIVERSITY,"$1,497,905",NSF
COLORADO STATE UNIVERSITY,"$58,233",NSF
"LELAND STANFORD JUNIOR UNIVERSITY, THE","$250,000",NSF
ABT ASSOCIATES INC.,"$199,922",NSF
UNIVERSITY OF ARIZONA,"$218,690",NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,"$350,000",NSF
SAN DIEGO STATE UNIVERSTIY FOUNDATION,"$1,517,474",NSF
CARNEGIE MELLON UNIVERSITY,"$199,975",NSF
MORGAN STATE UNIVERSITY (INC),"$45,973",NSF
CARNEGIE INSTITUTE,"$143,250",NSF
SYRACUSE UNIVERSITY,"$24,974",NSF
"JOHNS HOPKINS UNIVERSITY, THE","$796,205",NSF
UNIVERSITY OF TEXAS AT SAN ANTONIO,"$43,950",NSF
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,"$250,538",NSF
"MUSEUM OF SCIENCE, INC.","$2,499,996",NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,"$681,390",NSF
PURDUE UNIVERSITY,"$35,343",NSF
"UNIVERSITY OF CALIFORNIA, IRVINE","$2,819,380",NSF
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","$749,879",NSF
NORTHERN ILLINOIS UNIVERSITY INC,"$38,289",NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,"$150,000",NSF
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,"$600,000",NSF
UNIVERSITY OF MARYLAND,"$177,370",NSF
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,"$514,999",NSF
FAIRMONT STATE UNIVERSITY,,NASA
TEXAS A&M ENGINEERING EXPERIMENT STATION,,NASA
PURDUE UNIVERSITY,"$4,543,420",NSF
UNIVERSITY OF ARIZONA,"$1,499,415",NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,,NASA
CARNEGIE MELLON UNIVERSITY,,NASA
"REGENTS OF THE UNIVERSITY OF COLORADO, THE",,NASA
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,,NASA
CHICAGO HORTICULTURAL SOCIETY,"$1,545,483",NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,"$425,440",NSF
YOUNGSTOWN STATE UNIVERSITY,"$129,750",NSF
TRUSTEES OF INDIANA UNIVERSITY,"$419,500",NSF
"AMHERST COLLEGE, TRUSTEES OF","$91,025",NSF
"MATHEMATICAL ASSOCIATION OF AMERICA, INC","$2,057,514",NSF
CLEVELAND STATE UNIVERSITY,"$252,699",NSF
UNIVERSITY OF MASSACHUSETTS,"$300,916",NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,"$550,000",NSF
LONGWOOD UNIVERSITY,"$287,186",NSF
"UNIVERSITY OF CALIFORNIA, DAVIS","$400,000",NSF
CONSERVATION INTERNATIONAL FOUNDATION,"$620,844",NSF
LEHIGH UNIVERSITY,"$150,000",NSF
"VECARIUS, INC.","$499,900",NSF
TRUSTEES OF BOSTON UNIVERSITY,"$236,917",NSF
DUKE UNIVERSITY,"$83,122",NSF
DUKE UNIVERSITY,"$259,990",NSF
WILLIAM MARSH RICE UNIVERSITY,"$263,060",NSF
UNIVERSITY OF SOUTHERN CALIFORNIA,"$99,462",NSF
RENSSELAER POLYTECHNIC INSTITUTE,"$5,018,914",NSF
UNIVERSITY OF PUERTO RICO MEDICAL SCIENCES CAMPUS,"$431,523",NSF
NORTHEASTERN UNIVERSITY,"$374,630",NSF
"UNIVERSITY OF CALIFORNIA, DAVIS","$436,854",NSF
"CORNELL UNIVERSITY, INC","$352,047",NSF
"WASHINGTON UNIVERSITY, THE","$398,305",NSF
MATERIALS RESEARCH SOCIETY,"$3,000",NSF
"LELAND STANFORD JUNIOR UNIVERSITY, THE","$145,285",NSF
UNIVERSITY OF NEBRASKA,"$448,603",NSF
TOWSON UNIVERSITY,"$133,525",NSF
TEXAS STATE UNIVERSITY-SAN MARCOS,"$375,759",NSF
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","$498,412",NSF
NORTHWESTERN UNIVERSITY,"$13,000",NSF
"UNIVERSITY OF CALIFORNIA, IRVINE","$6,438,103",NSF
UNIVERSITY OF FLORIDA,"$1,970,124",NSF
GEORGIA TECH RESEARCH CORPORATION,,NASA
"JOHNS HOPKINS UNIVERSITY, THE",,NASA
UNIVERSITY OF HAWAII SYSTEMS,,NASA
BAYLOR UNIVERSITY,"$52,670",NSF
ILLINOIS INSTITUTE OF TECHNOLOGY,"$306,276",NSF
CENTRAL STATE UNIVERSITY,"$99,996",NSF
UNIVERSITY OF FLORIDA,,NASA
"SOUTH DAKOTA DISCOVERY CENTER AND AQUARIUM, THE",,NASA
TRUSTEES OF INDIANA UNIVERSITY,"$88,168",NSF
"PENNSYLVANIA STATE UNIVERSITY, THE","$125,000",NSF
UNIVERSITY OF PITTSBURGH THE,"$1,155,034",NSF
"WESTAT, INC.","$1,138,966",NSF
"EDUCATION DEVELOPMENT CENTER, INC.","$7,980,020",NSF
UNIVERSITY OF TENNESSEE,"$225,000",NSF
"UNIVERSITY OF CALIFORNIA, SAN DIEGO","$433,911",NSF
"UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.","$382,213",NSF
UNIVERSITY OF CALIFORNIA MERCED,"$879,997",NSF
"OHIO STATE UNIVERSITY, THE","$98,721",NSF
CARNEGIE MELLON UNIVERSITY,"$1,487,349",NSF
"NMC, INC.","$998,957",NSF
STROUD WATER RESEARCH CENTER INC,"$1,366,089",NSF
UNIVERSITY OF WASHINGTON,"$2,689,292",NSF
CARNEGIE MELLON UNIVERSITY,"$650,000",NSF
CAL POLY CORPORATION,"$184,774",NSF
TEXAS A&M UNIVERSITY-CORPUS CHRISTI,"$1,497,936",NSF
TEXAS TECH UNIVERSITY SYSTEM,"$389,272",NSF
UNIVERSITY OF WASHINGTON,"$1,444,005",NSF
WRIGHT STATE UNIVERSITY,"$400,000",NSF
UNIVERSITY OF ILLINOIS,"$499,936",NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA AT RIVERSIDE,"$300,000",NSF
MIAMI UNIVERSITY,"$99,811",NSF
NEW MEXICO STATE UNIVERSITY,"$3,418,299",NSF
TEXAS A & M UNIVERSITY,"$76,812",NSF
WASHINGTON STATE UNIVERSITY,"$950,000",NSF
"RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE","$294,123",NSF
NORTHAMPTON COMMUNITY COLLEGE,"$212,489",NSF
UNIVERSITY OF SOUTH CAROLINA,"$30,000",NSF
BEREA COLLEGE,"$296,388",NSF
"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY","$475,149",NSF
DREXEL UNIVERSITY,"$270,584",NSF
UNIVERSITIES SPACE RESEARCH ASSOCIATION,,NASA
NORTHEASTERN UNIVERSITY,,NASA
THERMOAURA INC.,"$750,000",NSF
CONCORD CONSORTIUM INC,"$999,921",NSF
PURDUE UNIVERSITY,"$500,000",NSF
"SALK INSTITUTE FOR BIOLOGICAL STUDIES, SAN DIEGO, CALIFORNIA, THE","$799,999",NSF
"VANDERBILT UNIVERSITY, THE","$399,951",NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,"$539,999",NSF
UNIVERSITY OF DELAWARE,,NASA
"PROXEMY RESEARCH, INC",,NASA
NORTH CAROLINA STATE UNIVERSITY,"$200,002",NSF
"WASHINGTON UNIVERSITY, THE","$299,412",NSF
GEORGIA TECH RESEARCH CORPORATION,"$483,443",NSF
"MATHEMATICAL ASSOCIATION OF AMERICA, INC","$799,768",NSF
GEORGIA TECH RESEARCH CORPORATION,"$925,181",NSF
UNIVERSITY OF TEXAS AT AUSTIN,"$14,978",NSF
CENTRAL MICHIGAN UNIVERSITY (INC),"$565,000",NSF
UNIVERSITY OF MEMPHIS,"$428,744",NSF
THE UNIVERSITY OF SOUTH DAKOTA,"$297,862",NSF
UNIVERSITY OF ILLINOIS,"$134,990",NSF
CARNEGIE MELLON UNIVERSITY,"$798,572",NSF
NEW MEXICO STATE UNIVERSITY,"$224,074",NSF
NEW YORK UNIVERSITY,"$299,999",NSF
UNIVERSITY OF MASSACHUSETTS,"$460,000",NSF
"OPEN SOURCE PROJECT FOR A NETWORK DATA ACCESS PROTOCOL, THE","$802,000",NSF
WASHINGTON STATE UNIVERSITY,"$400,000",NSF
BAYLOR UNIVERSITY,"$400,000",NSF
MASSCHALLENGE INC,"$50,000",NSF
UNIVERSITY OF MARYLAND CENTER FOR ENVIRONMENTAL SCIENCE,"$1,597,000",NSF
"MARINE BIOLOGICAL LABORATORY, THE","$493,458",NSF
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,"$150,000",NSF
"WOODS HOLE RESEARCH CENTER, INC., THE","$888,731",NSF
AUBURN UNIVERSITY,"$13,939",NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,"$150,000",NSF
WINROCK INTERNATIONAL INSTITUTE FOR AGRICULTURAL DEVELOPMENT,"$248,869",NSF
"UNIVERSITY OF CALIFORNIA, IRVINE","$299,996",NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,"$277,677",NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,"$76,682",NSF
"UNIVERSITY OF CALIFORNIA, LOS ANGELES","$249,529",NSF
PALO ALTO RESEARCH CENTER INCORPORATED,"$1,199,070",NSF
UNIVERSITY OF MASSACHUSETTS,"$100,000",NSF
THE RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK,"$999,919",NSF
PURDUE UNIVERSITY,"$999,079",NSF
GEORGIA TECH RESEARCH CORPORATION,"$59,999",NSF
UNIVERSITY OF WYOMING,"$1,199,963",NSF
UNIVERSITY OF SOUTHERN CALIFORNIA,"$482,252",NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,"$50,000",NSF
UNIVERSITY OF CONNECTICUT,"$140,000",NSF
HOFSTRA UNIVERSITY,"$1,199,737",NSF
DUKE UNIVERSITY,"$132,908",NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,"$560,183",NSF
"DEURION, LLC","$452,271",NSF
"UNIVERSITY OF CHICAGO, THE","$17,829",NSF
UNIVERSITY OF MASSACHUSETTS,"$98,542",NSF
UNIVERSITY OF ALABAMA,"$250,000",NSF
OHIO UNIVERSITY,,NASA
WESTERN MICHIGAN UNIVERSITY,,NASA
PURDUE UNIVERSITY,,NASA
TRUSTEES OF DARTMOUTH COLLEGE,,NASA
NORTH CAROLINA STATE UNIVERSITY,"$433,625",NSF
GEORGIA TECH RESEARCH CORPORATION,"$200,000",NSF
"PENNSYLVANIA STATE UNIVERSITY, THE","$239,817",NSF
WORCESTER POLYTECHNIC INSTITUTE,"$1,499,346",NSF
KING'S COLLEGE,"$87,775",NSF
UNIVERSITY OF KENTUCKY,"$749,999",NSF
UNIVERSITY OF NOTRE DAME DU LAC,"$195,262",NSF
UNIVERSITY CORPORATION FOR ATMOSPHERIC RESEARCH,"$398,183",NSF
"RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE","$120,493",NSF
"UNIVERSITY OF KANSAS CENTER FOR RESEARCH, INC.","$425,000",NSF
CHAPMAN UNIVERSITY,"$39,553",NSF
MICHIGAN STATE UNIVERSITY,"$969,929",NSF
NORTHWESTERN UNIVERSITY,"$300,000",NSF
ARIZONA STATE UNIVERSITY,"$289,980",NSF
NORTHWESTERN UNIVERSITY,"$707,299",NSF
"HEALTH FIDELITY, INC","$405,687",NSF
"EDUCATION DEVELOPMENT CENTER, INC.","$999,979",NSF
WILLIAM MARSH RICE UNIVERSITY,"$227,998",NSF
UNIVERSITY OF WASHINGTON,"$1,374,727",NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,"$449,829",NSF
PURDUE UNIVERSITY,"$1,199,969",NSF
"SCIENCE MUSEUM OF MINNESOTA, THE","$1,199,539",NSF
OREGON STATE UNIVERSITY,"$893,635",NSF
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON,"$147,000",NSF
"UNIVERSITY OF CHICAGO, THE","$984,096",NSF
"LELAND STANFORD JUNIOR UNIVERSITY, THE","$1,000,000",NSF
NEW YORK UNIVERSITY,"$1,121,590",NSF
UNIVERSITY SYSTEM OF NEW HAMPSHIRE,"$9,750",NSF
"AMERICAN MUSEUM OF NATURAL HISTORY, THE","$150,001",NSF
UNIVERSITY OF ROCHESTER,"$276,873",NSF
ILLINOIS STATE UNIVERSITY,"$700,046",NSF
UNIVERSITY OF SOUTH CAROLINA,"$50,000",NSF
NORTHWESTERN UNIVERSITY,"$255,487",NSF
"WASHINGTON AND LEE UNIVERSITY, THE","$87,630",NSF
UNIVERSITY OF MEMPHIS,"$1,342,970",NSF
GEORGIA TECH RESEARCH CORPORATION,"$149,810",NSF
NORTHERN ILLINOIS UNIVERSITY INC,"$240,000",NSF
UNIVERSITY OF MISSOURI SYSTEM,"$294,559",NSF
VASSAR COLLEGE,"$999,314",NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,"$510,000",NSF
DREXEL UNIVERSITY,"$548,367",NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,"$50,000",NSF
SAN JOSE STATE UNIVERSITY RESEARCH FOUNDATION,"$249,283",NSF
UNIVERSITY OF MISSOURI SYSTEM,"$100,000",NSF
SAN FRANCISCO STATE UNIVERSITY,"$166,647",NSF
NORTHERN ILLINOIS UNIVERSITY INC,"$5,000",NSF
"VANDERBILT UNIVERSITY, THE","$50,000",NSF
UNIVERSITY OF ILLINOIS,"$799,943",NSF
"UNIVERSITY OF CALIFORNIA, DAVIS","$1,029,674",NSF
NEW YORK HALL OF SCIENCE,"$1,195,109",NSF
UNIVERSITY OF WASHINGTON,"$750,000",NSF
"UNIVERSITY OF CHICAGO, THE","$465,000",NSF
TRUSTEES OF HAMPSHIRE COLLEGE,"$42,000",NSF
WESTERN STATE COLORADO UNIVERSITY,"$63,599",NSF
"EDUCATION, TRAINING, AND RESEARCH ASSOCIATES","$1,064,491",NSF
"NEW SCHOOL, THE","$18,000",NSF
"JOHNS HOPKINS UNIVERSITY, THE","$3,000,000",NSF
UNIVERSITY OF NEBRASKA,"$89,925",NSF
UNIVERSITY OF TEXAS AT AUSTIN,"$749,801",NSF
TEXAS TECH UNIVERSITY SYSTEM,"$15,000",NSF
UNIVERSITY OF RHODE ISLAND,"$385,279",NSF
"GEORGIA STATE UNIVERSITY RESEARCH FOUNDATION, INC.","$19,240",NSF
YALE UNIVERSITY,"$850,000",NSF
"LELAND STANFORD JUNIOR UNIVERSITY, THE","$333,334",NSF
"GRAMMATECH, INC.","$962,190",NSF
TEMPLE UNIVERSITY-OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION,"$768,601",NSF
UNIVERSITY OF MASSACHUSETTS,"$800,000",NSF
"RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE","$150,000",NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE",,NASA
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,"$2,882,550",NSF
REGENTS OF THE UNIVERSITY OF IDAHO,"$370,746",NSF
UNIVERSITY OF ILLINOIS,"$2,979,777",NSF
"TWIN CITIES PUBLIC TELEVISION, INC.","$250,000",NSF
UNIVERSITY OF TEXAS AT AUSTIN,"$660,000",NSF
CARNEGIE MELLON UNIVERSITY,"$1,455,306",NSF
"UNIVERSITY OF KANSAS CENTER FOR RESEARCH, INC.","$178,043",NSF
NEW YORK UNIVERSITY,"$710,000",NSF
UNIVERSITY OF SOUTHERN CALIFORNIA,"$1,450,000",NSF
"PENNSYLVANIA STATE UNIVERSITY, THE","$4,823,456",NSF
UNIVERSITY OF PITTSBURGH THE,"$500,000",NSF
"UNIVERSITY OF CALIFORNIA, LOS ANGELES","$749,700",NSF
UNIVERSITY OF ALASKA FAIRBANKS,"$1,707,331",NSF
YORK COLLEGE OF PENNSYLVANIA,"$219,918",NSF
"UNIVERSITY OF CALIFORNIA, SAN DIEGO","$749,989",NSF
"LELAND STANFORD JUNIOR UNIVERSITY, THE","$600,000",NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,"$750,000",NSF
UNIVERSITY OF OKLAHOMA,,NASA
NEW JERSEY INSTITUTE OF TECHNOLOGY,,NASA
UNIVERSITY OF WASHINGTON,,NASA
UNIVERSITY OF HAWAII SYSTEMS,,NASA
UNIVERSITY OF HAWAII SYSTEMS,,NASA
WEST VIRGINIA UNIVERSITY RESEARCH CORPORATION,,NASA
PLANETARY SCIENCE INSTITUTE,,NASA
TEXAS A&M ENGINEERING EXPERIMENT STATION,,NASA
UNIVERSITY SYSTEM OF NEW HAMPSHIRE,,NASA
UTAH STATE UNIVERSITY RESEARCH FOUNDATION,"$899,993",NSF
NORTH CAROLINA STATE UNIVERSITY,"$180,000",NSF
"COLLEGE OF WILLIAM & MARY, THE","$879,498",NSF
UNIVERSITY OF PITTSBURGH THE,"$700,000",NSF
NORTHEASTERN UNIVERSITY,"$703,000",NSF
"LELAND STANFORD JUNIOR UNIVERSITY, THE","$1,560,000",NSF
"HARVARD COLLEGE, PRESIDENT & FELLOWS OF","$206,643",NSF
"UNIVERSITY OF CALIFORNIA, IRVINE","$1,491,000",NSF
UNIVERSITY OF NEBRASKA,"$576,778",NSF
"METHODIST HOSPITAL RESEARCH INSTITUTE, THE","$344,036",NSF
NORTHERN ILLINOIS UNIVERSITY INC,"$1,890",NSF
UNIVERSITY OF WASHINGTON,"$2,000,000",NSF
"UNIVERSITY OF CALIFORNIA, SAN DIEGO","$420,029",NSF
WINSTON-SALEM STATE UNIVERSITY (INC),"$64,138",NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,"$550,000",NSF
YALE UNIVERSITY,"$420,000",NSF
UNIVERSITY OF ALASKA FAIRBANKS,"$1,402,992",NSF
IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY,"$170,550",NSF
UNIVERSITY OF WASHINGTON,"$499,210",NSF
"UNIVERSITY OF CALIFORNIA, DAVIS","$119,446",NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE","$805,104",NSF
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO","$1,000,000",NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,"$185,143",NSF
"WASHINGTON UNIVERSITY, THE","$174,994",NSF
FLORIDA INTERNATIONAL UNIVERSITY,"$406,106",NSF
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","$333,000",NSF
"EXPLORATORIUM, THE","$1,269,475",NSF
CALIFORNIA ACADEMY OF SCIENCES,"$610,644",NSF
CARNEGIE MELLON UNIVERSITY,"$333,333",NSF
"UNIVERSITY OF CALIFORNIA, DAVIS","$600,000",NSF
"UNIVERSITY OF CALIFORNIA, DAVIS","$558,925",NSF
UNIVERSITY OF FLORIDA,"$392,280",NSF
DUKE UNIVERSITY,"$165,000",NSF
"VANDERBILT UNIVERSITY, THE","$732,254",NSF
SOUTH DAKOTA SCHOOL OF MINES & TECHNOLOGY,"$282,942",NSF
UNIVERSITY OF NEW MEXICO,"$422,472",NSF
SOUTHERN ILLINOIS UNIVERSITY,"$200,002",NSF
"UNIVERSITY OF CALIFORNIA, SAN DIEGO","$333,000",NSF
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","$541,500",NSF
RESEARCH TRIANGLE INSTITUTE,"$580,000",NSF
CARNEGIE MELLON UNIVERSITY,"$61,944",NSF
"MINERALS, METALS AND MATERIALS SOCIETY, INC. , THE","$5,000",NSF
NORTHERN ILLINOIS UNIVERSITY INC,"$272,112",NSF
UNIVERSITY OF TEXAS AT DALLAS,"$339,570",NSF
OREGON STATE UNIVERSITY,"$11,836",NSF
"MONTANA STATE UNIVERSITY, INC","$61,736",NSF
UNIVERSITY OF PITTSBURGH THE,"$405,282",NSF
"UNIVERSITY OF CALIFORNIA, DAVIS","$150,000",NSF
PURDUE UNIVERSITY,"$1,997,085",NSF
"UNIVERSITY CORPORATION, THE","$297,852",NSF
"HARVARD COLLEGE, PRESIDENT & FELLOWS OF","$2,000,000",NSF
"WASHINGTON UNIVERSITY, THE","$275,000",NSF
UNIVERSITY OF MARYLAND,"$332,362",NSF
"HARVARD COLLEGE, PRESIDENT & FELLOWS OF","$137,276",NSF
"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","$51,596",NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,"$235,851",NSF
"TECHNICAL EDUCATION RESEARCH CENTERS, INC.","$185,638",NSF
BRIGHAM YOUNG UNIVERSITY,"$1,249,459",NSF
UNIVERSITY OF MARYLAND,"$684,766",NSF
UNIVERSITY OF HOUSTON SYSTEM,"$357,106",NSF
"UNIVERSITY OF CALIFORNIA, DAVIS","$329,598",NSF
TEXAS A&M ENGINEERING EXPERIMENT STATION,"$667,000",NSF
BUCKNELL UNIVERSITY,"$91,012",NSF
UNIVERSITY OF ILLINOIS,"$100,000",NSF
"HARVARD COLLEGE, PRESIDENT & FELLOWS OF","$19,971,962",NSF
"EDUCATION DEVELOPMENT CENTER, INC.","$1,999,995",NSF
BUTLER UNIVERSITY,"$2,943,065",NSF
CLEMSON UNIVERSITY,"$264,123",NSF
"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","$249,411",NSF
UNIVERSITY OF WISCONSIN SYSTEM,"$447,706",NSF
CALIFORNIA INSTITUTE OF TECHNOLOGY,"$5,000,000",NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE","$330,000",NSF
ILLINOIS INSTITUTE OF TECHNOLOGY,"$275,000",NSF
UNIVERSITY OF WASHINGTON,"$599,964",NSF
NEVADA SYSTEM OF HIGHER EDUCATION,"$749,700",NSF
"OHIO STATE UNIVERSITY, THE","$200,000",NSF
UNIVERSITY OF WASHINGTON,"$1,499,920",NSF
LEVEL PLAYING FIELD INSTITUTE,"$528,161",NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,"$1,000,000",NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,"$379,448",NSF
TRUSTEES OF BOSTON UNIVERSITY,"$101,859",NSF
LOUISIANA STATE UNIVERSITY SYSTEM,"$163,886",NSF
"UNIVERSITY OF CALIFORNIA, DAVIS","$296,908",NSF
ARIZONA STATE UNIVERSITY,"$159,625",NSF
UNIVERSITY OF MARYLAND,"$733,066",NSF
MICHIGAN STATE UNIVERSITY,"$16,577",NSF
"UNIVERSITY OF CALIFORNIA, SAN DIEGO","$250,001",NSF
"UNIVERSITY OF CALIFORNIA, IRVINE","$355,320",NSF
BAYLOR COLLEGE OF MEDICINE,"$704,508",NSF
"EDUCATION DEVELOPMENT CENTER, INC.","$1,499,229",NSF
UNIVERSITY OF MARYLAND BALTIMORE COUNTY,"$674,512",NSF
SAINT LOUIS UNIVERSITY,"$157,094",NSF
GEORGIA TECH RESEARCH CORPORATION,"$304,000",NSF
UNIVERSITY OF MAINE SYSTEM,"$192,226",NSF
GEORGIA TECH RESEARCH CORPORATION,"$299,999",NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,"$440,000",NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,"$382,569",NSF
FLORIDA INTERNATIONAL UNIVERSITY,"$378,750",NSF
UNIVERSITY OF ILLINOIS,"$5,000,000",NSF
UNIVERSITY OF ILLINOIS,"$401,000",NSF
UNIVERSITY SYSTEM OF NEW HAMPSHIRE,"$750,000",NSF
MICHIGAN STATE UNIVERSITY,"$194,717",NSF
UNIVERSITY OF NEBRASKA,"$167,793",NSF
UTAH STATE UNIVERSITY,"$240,739",NSF
UNIVERSITY OF SOUTHERN CALIFORNIA,"$280,000",NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,"$499,286",NSF
"PENNSYLVANIA STATE UNIVERSITY, THE","$266,286",NSF
UNIVERSITY CORPORATION FOR ATMOSPHERIC RESEARCH,"$2,992,994",NSF
NORTHWESTERN UNIVERSITY,"$699,999",NSF
UNIVERSITY OF MAINE SYSTEM,"$735,315",NSF
WOODS HOLE OCEANOGRAPHIC INSTITUTION,,NASA
PLANETARY SCIENCE INSTITUTE,,NASA
JACKSON STATE UNIVERSITY,"$600,000",NSF
MICHIGAN STATE UNIVERSITY,"$800,000",NSF
NORTH CAROLINA STATE UNIVERSITY,"$952,818",NSF
NATIONAL ACADEMY OF SCIENCES,"$836,619",NSF
"UNIVERSITY OF CALIFORNIA, SANTA BARBARA","$353,999",NSF
"UNIVERSITY OF CALIFORNIA, SANTA BARBARA","$511,250",NSF
NATIONAL ACADEMY OF SCIENCES,"$799,591",NSF
RENSSELAER POLYTECHNIC INSTITUTE,"$550,000",NSF
"TRUSTEES OF PRINCETON UNIVERSITY, THE","$1,230,000",NSF
BOWLING GREEN STATE UNIVERSITY (INC),"$879,999",NSF
INSTITUTE FOR ADVANCED STUDY,"$972,000",NSF
MORGAN STATE UNIVERSITY (INC),"$300,625",NSF
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,"$420,000",NSF
UNIVERSITY OF DELAWARE,"$999,520",NSF
"REAL-TIME ANALYZERS, INCORPORATED","$681,521",NSF
"UNIVERSITY OF CALIFORNIA, DAVIS","$609,000",NSF
UNIVERSITY OF PITTSBURGH THE,"$247,154",NSF
UNIVERSITY OF SOUTH FLORIDA,"$194,869",NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,"$360,000",NSF
UNIVERSITY OF SOUTHERN CALIFORNIA,"$748,914",NSF
GEORGIA TECH RESEARCH CORPORATION,"$149,000",NSF
TRUSTEES OF BOSTON UNIVERSITY,"$200,109",NSF
GEORGIA TECH RESEARCH CORPORATION,"$1,188,710",NSF
SYRACUSE UNIVERSITY,"$200,000",NSF
CARNEGIE INSTITUTION OF WASHINGTON,"$231,491",NSF
"NANOVALENT PHARMACEUTICALS, INC","$500,000",NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,"$275,453",NSF
ROCHESTER INSTITUTE OF TECHNOLOGY (INC),"$80,000",NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,"$487,004",NSF
CLEVELAND STATE UNIVERSITY,"$1,508,599",NSF
WRIGHT STATE UNIVERSITY,"$200,000",NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,"$489,119",NSF
CLEMSON UNIVERSITY,"$198,829",NSF
"TRUSTEES OF PRINCETON UNIVERSITY, THE","$487,630",NSF
KALIBER IMAGING,"$481,337",NSF
TEXAS A & M UNIVERSITY,"$158,699",NSF
SRI INTERNATIONAL,"$419,271",NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,"$420,000",NSF
"UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.","$493,692",NSF
UNIVERSITY OF ARIZONA,"$79,922",NSF
THE RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK,"$176,999",NSF
LEHIGH UNIVERSITY,"$335,000",NSF
CALIFORNIA STATE UNIVERSITY EAST BAY FOUNDATION,"$299,979",NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA AT RIVERSIDE,"$160,311",NSF
CALIFORNIA INSTITUTE OF TECHNOLOGY,"$420,000",NSF
ARIZONA STATE UNIVERSITY,"$887,232",NSF
CLEMSON UNIVERSITY,"$390,000",NSF
